Country,Deaths_per_1Mpop,Date,Month_Key,Insolation_Average,Cloud_Fraction,CENTR_latitude,CENTR_longitude,LogDeaths_per_1Mpop,Month_Fct2020
Bosnia_and_H,47,2020-05-31,2020-05,356.7546577453613,0.18380113610659132,43.915886,17.679076,1.6720978579357175,May
Bulgaria,20,2020-05-31,2020-05,366.3989305623372,0.1617766673117876,42.733883,25.48583,1.3010299956639813,May
Croatia,25,2020-05-31,2020-05,357.4852184220856,0.1910416665121767,45.1,15.2,1.3979400086720377,May
Czechia,30,2020-05-31,2020-05,369.5457791928892,0.1827925923642599,49.817492,15.472962,1.4771212547196624,May
Denmark,99,2020-05-31,2020-05,328.96197175143055,0.5573114015554127,56.26392,9.501785,1.99563519459755,May
Estonia,51,2020-05-31,2020-05,360.6853959825304,0.14675396846954725,58.595272,25.013607,1.7075701760979363,May
Finland,57,2020-05-31,2020-05,363.07769636910405,0.17641747027547883,61.92411,25.748151,1.7558748556724915,May
France,441,2020-05-31,2020-05,308.373399817132,0.5920101681198829,46.227638,2.213749,2.6444385894678386,May
Germany,103,2020-05-31,2020-05,345.9065310641452,0.4466864861505995,51.165691,10.451526,2.012837224705172,May
Greece,17,2020-05-31,2020-05,365.3090421130448,0.1981734419048048,39.074208,21.824312,1.2304489213782739,May
Hungary,54,2020-05-31,2020-05,387.40376488956406,0.09264814787555808,47.162494,19.503304,1.7323937598229686,May
Ireland,335,2020-05-31,2020-05,274.1935831583463,0.5543485584740455,53.41291,-8.24389,2.525044807036845,May
Italy,551,2020-05-31,2020-05,339.1151505212291,0.3031499494738092,41.87194,12.56738,2.741151598851785,May
Latvia,13,2020-05-31,2020-05,364.06296460381867,0.13068965521865877,56.879635,24.603189,1.1139433523068367,May
Lithuania,26,2020-05-31,2020-05,372.1939767690805,0.1473766581466624,55.169438,23.881275,1.414973347970818,May
Luxembourg,176,2020-05-31,2020-05,333.6441599527995,0.5655833333730698,49.815273,6.129583,2.24551266781415,May
Malta,20,2020-05-31,2020-05,334.00749588012695,0.21587500162422657,35.937496,14.375416,1.3010299956639813,May
Moldova,72,2020-05-31,2020-05,365.47993560064407,0.15167261935060933,47.411631,28.369885,1.8573324964312685,May
Montenegro,14,2020-05-31,2020-05,349.47321374075756,0.07796428565468107,42.708678,19.374389999999998,1.146128035678238,May
Netherlands,347,2020-05-31,2020-05,319.2661375565962,0.6264659110456705,52.132633,5.291266,2.5403294747908736,May
North_Macedonia,63,2020-05-31,2020-05,352.8868181633227,0.15039393971815254,41.62,21.719,1.7993405494535817,May
Norway,44,2020-05-31,2020-05,343.7042505179862,0.3459478045905377,60.472024,8.468946,1.6434526764861874,May
Poland,28,2020-05-31,2020-05,371.71171486470746,0.1416956518191134,51.919438,19.145136,1.4471580313422192,May
Portugal,137,2020-05-31,2020-05,248.26300473614927,0.6862783879587502,39.399872,-8.224454,2.1367205671564067,May
Romania,65,2020-05-31,2020-05,371.08802558600337,0.15387314435361046,45.943161,24.96676,1.8129133566428555,May
Serbia,28,2020-05-31,2020-05,369.51959262174717,0.12995588220655918,44.016521,21.005859,1.4471580313422192,May
Slovakia,5,2020-05-31,2020-05,387.46820615685505,0.08031521772500128,48.669026,19.699024,0.6989700043360189,May
Slovenia,52,2020-05-31,2020-05,368.27653738168567,0.1314358972490598,46.151241,14.995463,1.7160033436347992,May
Spain,580,2020-05-31,2020-05,268.1889008552797,0.6679736669074163,40.463667,-3.74922,2.7634279935629373,May
Sweden,435,2020-05-31,2020-05,355.1908979402555,0.318784964943982,60.128161,18.643501,2.6384892569546374,May
Switzerland,222,2020-05-31,2020-05,356.2005532582601,0.30666666596920955,46.818188,8.227512,2.346352974450639,May
UK,566,2020-05-31,2020-05,285.54901079318824,0.568877074378648,55.378051,-3.435973,2.7528164311882715,May
Ukraine,16,2020-05-31,2020-05,354.9442773660024,0.2312569443440427,48.379433,31.16558,1.2041199826559248,May
Albania,20,2020-06-30,2020-06,353.92239538828534,0.22497916713958452,41.153332,20.168331,1.3010299956639813,Jun
Austria,78,2020-06-30,2020-06,326.5222728382457,0.4568515147788055,47.516231,14.550072,1.8920946026904804,Jun
Belarus,41,2020-06-30,2020-06,384.9914299738645,0.06882372527732256,53.709807,27.953389,1.6127838567197355,Jun
Belgium,840,2020-06-30,2020-06,302.86117362976074,0.7179921900387853,50.503887,4.469936,2.9242792860618816,Jun
Bosnia_and_H,56,2020-06-30,2020-06,353.3829531236128,0.11152272698183713,43.915886,17.679076,1.7481880270062005,Jun
Bulgaria,32,2020-06-30,2020-06,408.7612661743164,0.020176666808935505,42.733883,25.48583,1.505149978319906,Jun
Croatia,26,2020-06-30,2020-06,340.5068131241144,0.20971568615983843,45.1,15.2,1.414973347970818,Jun
Czechia,32,2020-06-30,2020-06,332.0285179985894,0.3765777766583832,49.817492,15.472962,1.505149978319906,Jun
Denmark,104,2020-06-30,2020-06,305.1257450036835,0.8378245631853739,56.26392,9.501785,2.0170333392987803,Jun
